nr;datum;Nederlands;Grieks;woordsoort;nota;thema
0633;;thee met suiker;τσάι με ζάχαρη;znw. groep;;voedsel, dingen
0634;;Zo is het!;Έτσι είναι!;uitdr.;;converseren, uitdrukkingen
0635;;het geld， de centen;τα λεφτά;znw.;mv.;hoeveelheden, meten
0636;;kleingeld;τα ψιλά;znw.;;hoeveelheden, meten
0637;;wisselgeld;τα ρέστα;znw.;;hoeveelheden, meten
0638;;Dit is voor u!;Αυτό/Αυτά για σας!;uitdr.;;
0639;;Het ga je goed!， Stel het goed!;Νά ’σαι καλά!;uitdr.;;converseren, uitdrukkingen
0640;;Het ga u goed!， Stelt u het goed!， Het ga jullie goed!;Νά ’στε καλά!;uitdr.;;converseren, uitdrukkingen
0641;;Het maakt niet uit.;Δεν πειράζει.;uitdr.;;converseren, uitdrukkingen
0642;2025-02-11;euro;(το) ευρώ;znw.;;hoeveelheden, meten
0643;;betalen;πληρώνω;ww.;;converseren
0644;;Hoeveel kost het?;Πόσο κάνει;;zin;vraagzin;hoeveelheden, meten
0645;;Hoeveel kosten ze?;Πόσο κάνουν;;zin;vraagzin;hoeveelheden, meten
0646;;uitgang;(η) έξοδος;znw.;;
0647;;¹ingang ²binnenkomst;(η) είσοδος;znw.;;
0648;;ticket;(το) εισιτήριο;znw.;;reizen, routines
0649;;uitgang， ontslag (bvb uit het ziekenhuis);(το) εξιτήριο;znw.;;beroepen, maatschappij
0650;;¹ingang ²import;(η) εισαγωγή;znw.;;beroepen, maatschappij
0651;;exporteren;(η) εξαγωγή;znw.;;beroepen, maatschappij
0652;;alles samen;όλα μαζί;zin;;converseren
0653;;uit elkaar;χώρια;bijw.;;converseren
0654;;benijden (positief);ζηλεύω;ww.;;emoties, behoeftes
0655;;Wees welkom!;Καλώς όρισες!;zin;ev. inform.;converseren, uitdrukkingen
0656;;verwelkom hem/haar;καλώς τον/την;zin;;converseren
0657;;we zijn goed(e mensen);είμαστε καλοί;zin;;emoties, behoeftes
0658;;we zijn goed， we maken het goed;είμαστε καλά;zin;;emoties, behoeftes
0659;;goed (bw.);καλά;bijw.;gebruikt als bw. maar eig. onz. mv.;emoties, behoeftes
0660;;slecht (bw.);άσχημα;bijw.;;emoties, behoeftes
0661;;kiosk， hokje;το περίπτερο;znw.;;reizen, routines
0662;;kioskverkoper;(ο) περιπτεράς;znw.;;beroepen, maatschappij
0663;;De rekening, alstublieft.;Τον λογαριασμό, παρακαλώ.;zin;;winkelen, routines
0664;;rekenkantoor;το λογιστήριο;znw.;;beroepen, maatschappij
0665;;kopen;αγοράζω;ww.;;converseren
0666;;tijdschrift;(το) περιοδικό;znw.;;converseren
;;;(η) μαστίχα;;;
0667;;roken;καπνίζω;ww.;;grammatica
;;;Πώς περνάς την ημέρα σου;;;;
0668;;een pakje sigaretten;ένα πακέτο τσιγάρα;znw. groep;;dingen
;;;κουτί σπίρτα;;;
;;;(το) προφυλακτικό;;;
0669;;een doosje lucifers;ένα κουτί σπίρτα;znw. groep;;dingen
0670;;aansteker;(ο) αναπτήρας;znw.;;dingen
0671;;postzegel;(το) γραμματόσημο;znw.;;dingen
0672;;potlood;(το) μολύβι;znw.;;beroepen, maatschappij
0673;2025-03-25;kourabjedes (Griekse koekjes);(οι) κουραμπιέδες;znw.;;voedsel, dingen
0674;;melomakaroni;τα μελομακάρονα;znw.;;voedsel, dingen
0675;;koekjes;τα μπισκότα;znw.;;voedsel, dingen
0676;;open;ανοιχτός -ή -ό;bnw.;;
0677;2025-04-01;lente;(η) άνοιξη;znw.;;natuur
0678;;gesloten， dicht;κλειστός -ή -ό;bnw.;;
0679;;claustrofobie;(η) κλειστοφοβία;znw.;;filosofie, cultuur
0680;;natuurlijk， zeer zeker (bijw);βέβαια， βεβαίως;bijw.;;converseren
0681;;geven;δίνω;ww.;;converseren
0682;;¹postkantoor ²de Post;(το) ταχυδρομείο;znw.;lett. ‘de snelle weg’;reizen, routines
0683;2025-05-06;denken;¹νομίζω ²σκέφτομαι - σκέφτεσαι, σκέφτεται, σκεφτόμαστε, σκέφτεστε, σκέφτονται;ww.;;filosofie, cultuur
0684;;Ik denk niet dat het open is.;Δεν νομίζω πως είναι ανοιχτό.;zin;;converseren
0685;;Ik denk niet dat …;Δεν νομίζω ότι …;zin;;converseren, uitdrukkingen
0686;;Ik weet niet hoe laat het is.;Δεν ξέρω τι ώρα είναι.;zin;;converseren
0687;;Ik weet niet waarom ik van je hou.;Δεν ξέρω γιατί σ' αγαπώ.;zin;;emoties, behoeftes
0688;;Bent u moe?;Μήπως είστε κουρασμένοι;;zin;vraagzin;emoties, behoeftes
0689;;één euro;ένα Ευρώ;znw.;;hoeveelheden, meten
;;;τίποτα άλλο;;;
0690;;Akis;ο Άκης;eigennaam;;namen, cultuur
0691;;informeel;φιλικός -ή -ό;bnw.;;grammatica
0692;;formeel;τυπικός -ή -ό;bnw.;;grammatica
0693;;dialoog;(ο) διάλογος;znw.;;grammatica
;;;(η) μακαρονάδα;;;
0694;;vreemden;(οι) ξένοι;znw.;;relaties, converseren
0695;;¹langs hier ²van hier;αποδώ;bijw.;;geografie, cultuur
0696;;het meervoud;ο πληθυντικός;znw.;;grammatica
0697;;zelstandige naamwoorden;(τα) ουσιαστικά;znw. groep;;grammatica
0698;;man;(ο) άντρας - (οι) άντρες;znw.;;relaties, converseren
0699;;vrouw;(η) γυναίκα - (οι) γυναίκες;znw.;;relaties, converseren
0700;;boek;(το) βιβλίο - (τα) βιβλία;znw.;;beroepen, maatschappij
0701;;huis;(το) σπίτι - (τα) σπίτια;znw.;;wonen, routines
0702;;brief;(το) γράμμα - (τα) γράμματα;znw.;;converseren
0703;;probleem;(το) πρόβλημα - (τα) προβλήματα;znw.;;filosofie, cultuur
0704;;begrip van gesproken taal;(η) κατανόηση προφορικού λόγου;znw. groep;;converseren
0705;;Welk nieuws?;Τι νέα;;zin;vraagzin;converseren
0706;;Hetzelfde.;Τα ίδια.;zin;uitdr.;converseren
0707;;Voor mij ook (het zelfde).;Κι εγώ τα ίδια.;uitdr.;;converseren, uitdrukkingen
0708;;portemonnee;(το) πορτοφόλι;znw.;;dingen
0709;;het eten;(το) φαγητό;znw.;;voedsel, dingen
0710;;voetbal;(το) ποδόσφαιρο;znw.;;sport, maatschappij
;;;(το) πρόγραμμα;;;
;;;πετάω;;;
0711;;muziek;(η) μουσική;znw.;;muziek, cultuur
0712;;adjectief /bijvoeglijk naamwoord (bnw.);(τα) επίθετα;znw.;;grammatica
0713;2025-03-25;taverne， herberg;(η) ταβέρνα;znw.;;reizen, routines
0714;2025-02-18;klaar;έτοιμος -η -ο;bnw.;;
0715;;broer;(ο) αδερφός;znw.;;relaties, converseren
0716;;zuster;(η) αδερφή;znw.;;relaties, converseren
0717;;Vertaalt!;Να μεταφράσετε!;ww.;imp.;converseren, uitdrukkingen
0718;;¹Aangename kennismaking! ²Erg prettig!;Χάρηκα πολύ!;uitdr.;;converseren, uitdrukkingen
0719;;Hoe zeg je dat in het Grieks?;Πώς το λένε αυτό στα ελληνικά;;zin;vraagzin;converseren
;;;(το) τραπέζι;;;
;;;(η) καρέκλα;;;
;;;(το) διαβατήριο;;;
;;;(η) σελίδα;;;
;;;(η) κόκα-κόλα;;;
0720;;God zij dank!;Δόξα τω Θεώ!;uitdr.;;converseren, uitdrukkingen
0721;;Vul de ontbrekende woorden in.;Συμπληρώστε τις λέξεις που λείπουν.;zin;;grammatica
0722;;Beantwoordt de vragen!;Απαντήστε στις ερωτήσεις!;zin;;grammatica
0723;;Ik vraag hoeveel het kost.;Ρωτάω πόσο κάνει.;zin;;converseren
0724;;journalist;(ο/η) δημοσιογράφος;znw.;;beroepen, maatschappij
0725;;in Athene, in Pankrati;στην Αθήνα, στο Παγκράτι;plaatsnaam;;geografie, cultuur
0726;;naar Pankrati;προς Παγκράτι;plaatsnaam;;geografie, cultuur
0727;2025-03-25;brood;(το) ψωμί - (τα) ψωμιά;znw.;;voedsel, dingen
0728;;sap;(ο) χυμός - (οι) χυμοί;znw.;;voedsel, dingen
0729;;kauwgom;(η) τσίχλα - (οι) τσίχλες;znw.;;voedsel, dingen
0730;;yoghurt;(το) γιαούρτι - (τα) γιαούρτια;znw.;;voedsel, dingen
0731;;snoep;(η) καραμέλα - (οι) καραμέλες;znw.;;voedsel, dingen
0732;;pretzel;(το) κουλούρι - (τα) κουλούρια;znw.;;voedsel, dingen
0733;;spinazietaart;(η) σπανακόπιτα;znw.;;voedsel, dingen
0734;;bier;(η) μπίρα - (οι) μπίρες;znw.;;voedsel, dingen
0735;;Ik ga naar de bakker en koop …;Πηγαίνω στον φούρνο και αγοράζω …;zin;;winkelen, routines
0736;;bruin brood;ένα μαύρο ψωμί;znw. groep;;voedsel, dingen
0737;;een croissant;ένα κρουασάν;znw.;;voedsel, dingen
0738;;een sandwich;ένα σάντουιτς;znw.;;voedsel, dingen
0739;;een halve kilo koekjes;μισό κιλό βουτήματα， μπισκότα;znw. groep;βουτήματα lett. ‘dingen om te sopppen’;voedsel, dingen
0740;;een boerenbrood;ένα χωριάτικο ψωμί;znw. groep;;voedsel, dingen
0741;;dorp;(το) χωριό;znw.;;geografie, cultuur
0742;;¹rustiek， boers， landelijk ²dorps， van het dorp， dorps-;χωριάτικος -η -ο;bnw.;;
0743;;een boerensalade;μια χωριάτικη σαλάτα;znw. groep;;voedsel, dingen
0744;;Wilt u nog iets anders?;Θέλετε τίποτα άλλο;;zin;vraagzin;winkelen, routines
0745;2025-03-25;juist;σωστός -ή -ό;bnw.;;filosofie, cultuur
0746;;de kou(de);(το) κρύο;znw.;;natuur
0747;;namiddag;(το) απόγευμα - (τα) απογεύματα;znw.;;kalender, meten
0748;2025-03-18;gebruikelijk， gewoonlijk;συνήθως;bijw.;;
0749;2025-02-11, 2025-02-25;horen;ακούω - ακούς, ακούει, ακούμε, ακούτε, ακούνε;ww.;;converseren
0750;2025-04-01;zomer;(το) καλοκαίρι;znw.;;kalender, meten
0751;2025-03-18, 2025-05-06;zelden;σπάνια;bijw.;;hoeveelheden, meten
0752;2025-03-18, 2025-05-06;laat;αργά;bijw.;;kalender, meten
0753;;avond;(το) βράδυ - (τα) βράδια;znw.;;kalender, meten
0754;;nooit;ποτέ;bijw.;vraagw.;kalender, meten
0755;2025-03-18, 2025-03-25, 2025-04-22;wanneer;πότε;bijw.;vraagw.;kalender, meten
0756;2025-02-11;ontbijt;(το) πρωινό;znw.;;voedsel, dingen
0757;;diner;(το) βραδινό;znw.;;voedsel, dingen
;;;(η) δωροκάρτα;;;
;;;πάω για ψώνια;;;
;;;(τα) ψώνια;;;
;;;κάνω σπορ;;;
0758;2025-04-01;het is heet;κάνει ζέστη;zin;uitdr.;natuur
0759;2025-02-25;eten;τρώω - τρως, τρώει, τρώμε, τρώτε, τρώνε;ww.;;voedsel, dingen
0760;;¹ik doe (het) vroeg. ²ik ben er vroeg bij. ³ik ben vroeg (klaar).;κάνω (κάτι) νωρίς;zin;;tijd, meten
0761;;wakker worden met muziek;ξυπνάω με μουσική;zin;;muziek, cultuur
0762;;ik ga winkelen (etalage-kijken, shoppen);βλέπω για ψώνια;zin;lett. ’ik kijk voor boodschappe’;winkelen, routines
0763;;ik ga televisiekijken;πάω να δω τηλεόραση;zin;;reizen, routines
0764;2025-02-11;op dinsdag;την Τρίτη;zin;;kalender, meten
0765;;op zaterdagavond;το Σάββατο το βράδυ;zin;;kalender, meten
0766;2025-02-18;¹naar buiten gaan ²uitgaan;βγαίνω έξω;ww. groep;;reizen, routines
0767;;een keer per maand;μια φορά τον μήνα;zin;;kalender, meten
0768;2025-02-11;in het weekend;το Σαββατοκύριακο;zin;;kalender, meten
0769;;Ik vind de zinnen en voeg de klemtoon toe.;Βρίσκω τις φράσεις και βάζω τόνο.;zin;;grammatica
0770;;12:00;δώδεκα η ώρα;zin;;kalender, meten
;;;είκοσι;;;
;;;τριάντα;;;
;;;σαράντα;;;
;;;πενήντα;;;
;;;εξήντα;;;
0771;;13:15;μια και τέταρτο;zin;;kalender, meten
0772;;bank;(η) τράπεζα;znw.;;reizen, routines
;;;Ποιος πληρώνει τον λογαριασμό;;;;
;;;Είναι το ταξί ελεύθερο;;;;
0773;;op de bus wachten;περιμένω λεωφορείο;zin;;reizen, routines
0774;2025-02-25, 2025-04-222025-04-22;eiland;(το) νησί - (τα) νησιά;znw.;;geografie, cultuur
0775;;slecht weer;(ο) άσχημος καιρός;zin;;natuur
0776;;beer;(η) αρκούδα;znw.;;natuur
0777;2025-04-01;sneeuw;(το) χιόνι;znw.;;natuur
0778;;uitschelden;μαλώνω;ww.;;emoties, behoeftes
0779;;¹Wat ga je (later) worden? ²Wat zal er van je worden?;Τι θα γίνεις;;zin;vraagzin;
0780;;analfabeet;αγράμματος -η -ο;bnw.;;
0781;;ziek worden;αρρωσταίνω;ww.;;lichaam, behoeftes
0782;;ik zal het niet uithouden;δε θ'αντέξω;zin;;emoties, behoeftes
0783;;¹razen ²wild worden;αγριέυω - αγρίεψα - θ’αγριέψω;ww.;;emoties, behoeftes
0784;2025-04-22;zoals;όπως;vw.;;grammatica
0785;2025-03-25;ziehier， hier heb je …;¹να + nom. ²ορίστε + nom.;uitdr.;cfr Fr. ‘voici’;converseren, uitdrukkingen
0786;;Hier is Jannis!;Να ο Γιάννης!;zin;;converseren, uitdrukkingen
0787;;ik begrijp wat je zegt;καταλαβαίνω τι λες;zin;;converseren
0788;;ik begrijp hoe het is;καταλαβαίνω πως είναι;zin;;converseren
0789;;ik begrijp dat dat (zo) is;καταλαβαίνω ότι είναι;zin;;converseren
0790;;en zij， ook zij， zij ook;κι αυτή;zin;;relaties, converseren
0791;;zij tweeën;οι δύο;znw. groep;;hoeveelheden, meten
;;;τρεις / τρεις / τρία;;;
;;;τέσσερις / τέσσερις / τέσσερα;;;
;;;πέντε;;;
0792;;in het centrum;στο κέντρο;zin;;geografie, cultuur
0793;;de boom in het midden;το δέντρο στο κέντρο;znw. groep;;natuur
0794;2025-02-18;ver (weg)， veraf;μακριά;bijw.;;geografie, cultuur
0795;2025-02-18;rechts;δεξιά;bijw.;;geografie, cultuur
0796;2025-02-18;links;αριστερά;bijw.;;geografie, cultuur
0797;;Bent u een buitenlander?;Είστε ξένος;;zin;vraagzin;converseren
0798;;Waar precies?;Πού ακριβώς;;zin;vraagzin;geografie, cultuur
0799;;zeker， beslist (bnw.);βέβαιος -η -ο;bnw.;;converseren
0800;2025-02-18;straat (in straatnaam);(η) οδός;znw.;formeel;geografie, cultuur
0801;2025-02-18;weg;(ο) δρόμος;znw.;;geografie, cultuur
;;;(ο) φούρνος;;;
0802;;in de Hermesstraat;(στην (οδό)) Ερμού;znw. groep;;geografie, cultuur
0803;;eenheid;(η) ομόνοια;znw.;;filosofie, cultuur
0804;;Wil je iets?;Θέλεις τίποτα;;zin;vraagzin;converseren
0805;;Nee, ik wil niets.;Όχι, δεν θέλω τίποτα.;zin;;converseren
0806;;Nee, niets.;Όχι, τίποτα.;zin;;converseren
0807;;iets;κάτι;bijw.;alleen affirmatief gebruikt;converseren
0808;;Ja, ik wil iets.;Ναι, θέλω κάτι.;zin;;converseren
0809;;Ga jij (wel eens) naar de bioscoop?;Πας (ποτέ) στο σινεμά;;zin;vraagzin;converseren
0810;;Ik ga nooit.;Δεν πάω ποτέ.;zin;;reizen, routines
0811;;Nooit.;Ποτέ.;bijw.;;kalender, meten
0812;;Ik ga een keer.;Πάω κάποτε.;zin;;reizen, routines
0813;;Weet iemand hoe laat het is?;Ξέρει κανένας τι ώρα είναι;;zin;vraagzin;kalender, meten
0814;;Niemand weet het.;Δεν ξέρει κανένας.;zin;;converseren
0815;;geen， niemand;κανένας;vnw.;;hoeveelheden, meten
0816;;Ja, iemand weet het.;Ναι, ξέρει κάποιος.;zin;;converseren
0817;;Ik ben nergens bang voor.;Δεν φοβάμαι τίποτα.;zin;;emoties, behoeftes
0818;;Ik hoop niets.;Δεν ελπίζω τίποτα.;zin;;emoties, behoeftes
0819;;Ik ben vrij.;Είμαι ελεύθερος.;zin;;emoties, behoeftes
0820;;15:30 (half vier);τρεις και μισή;zin;;kalender, meten
0821;;Hoe laat gaat u naar uw werk?;Τι ώρα πάτε στη δουλειά σας;;zin;vraagzin;beroepen, maatschappij
0822;;om negen uur;στις εννέα η ώρα;zin;;kalender, meten
0823;;om één uur precies;στην μια η ώρα ακριβώς;zin;op het hele uur;kalender, meten
0824;;… uur;… η ώρα;znw. groep;vaste uitdrukking voor het volle uur, onveranderlijk, cfr. Eng. ‘o’clock’;kalender, meten
0825;;om half acht;στις οκτώ και μισή;zin;;kalender, meten
0826;;kerstboom;(το) χριστουγεννιάτικο δέντρο;znw.;;kalender, meten
0827;;pop;(η) κούκλα;znw.;;dingen
0828;;champagne;(η) σαμπάνια;znw.;;voedsel, dingen
0829;;zoete taart， gebak， dessert， zoetigheid;(το) γλυκό;znw.;;voedsel, dingen
0830;;grijs;γκρι， γκρίζος -α -ον;bnw.;;kleuren & vormen, dingen
0831;;ezel;(ο) γάιδαρος;znw.;;dieren, natuur
0832;;de hond blaft;ο σκύλος γαβγίζει;zin;;dieren, natuur
0833;2025-03-11;rondom， omstreeks;γύρω;bijw.;;geografie, cultuur
;;;Εδώ γύρω.;;;
0834;;dwalen;τριγυρίζω;ww.;;reizen, routines
0835;2025-02-04;bril;(τα) γυαλιά;znw.;;kleding, behoeftes
0836;;vest;(το) γιλέκο;znw.;;kleding, behoeftes
0837;;anjer in het knoopsgat;(το) γαρίφαλο στο πέτο;znw. groep;;kleding, behoeftes
0838;;overschoenen;(οι) γαλότσες;znw.;cfr Fr. ‘galoches’;kleding, behoeftes
0839;2025-02-04;stropdas;(η) γραβάτα;znw.;cfr Fr. ‘cravatte‘;kleding, behoeftes
0840;;kat;(η) γάτα;znw.;;dieren, natuur
0841;;hij/zij keert zich om， hij/zij zoekt;γυρίζει;ww.;;grammatica
0842;;om het als kraag te dragen， om als kraag om te doen;να το βάλει για γιακά;zin;;kleding, behoeftes
0843;;vacht;(η) γούνα;znw.;;dieren, natuur
0844;;kittelen， kriebelen;γαργαλώ;ww.;;emoties, behoeftes
0845;;de kat spint;η γάτα γουργουρίζει;zin;;dieren, natuur
0846;;lachen;γελάω, γελώ;ww.;;emoties, behoeftes
0847;;blaffen;γαβγίζω;ww.;;dieren, natuur
0848;;wanneer;ποτέ;bijw.;;kalender, meten
0849;;Vandaag hebben we les in klas 1B.;Σήμερα κάνουμε μάθημα στην τάξη 1B.;zin;;beroepen, maatschappij
0850;;Tot gauw!;Τα λέμε σε λίγο!;zin;uitdr.;converseren, uitdrukkingen
0851;2025-04-01;verbazingwekkend， fantastisch;καταπληκτικός -ή -ό;bnw.;;emoties, behoeftes
0852;;ik was onder de indruk;εντυπωσιάστηκα;zin;;emoties, behoeftes
0853;;tegelijkertijd， synchroon;συγχρόνως;bijw.;;kalender, meten
0854;;het spijt me;λυπήθηκα;zin;;emoties, behoeftes
0855;;gebracht;φέρθηκε;ww.;;converseren
0856;2025-04-22;al;ήδη;bijw.;;
0857;;hard， moeilijk;σκληρά;bijw.;;emoties, behoeftes
0858;;genieten;χαίρομαι;ww.;;emoties, behoeftes
0859;2025-02-18;maar， echter;όμως;vw. bijw.;;
0860;;zo veel (als);τόσο;bijw.;;hoeveelheden, meten
0861;;intelligent， snugger;ευφυής -ής -ές;bnw.;;emoties, behoeftes
0862;;artiest， kunstenaar;(ο/η) καλλιτέχνης;znw.;;beroepen, maatschappij
0863;;wat het werk betreft;όσο για την εργασία;zin;;beroepen, maatschappij
0864;;zeer weinig， minimaal;ελάχιστος -η -ο;bnw.;;hoeveelheden, meten
0865;;observaties;(οι) παρατηρήσεις;znw.;;beroepen, maatschappij
0866;;Dienovereenkomstig corrigeren;Να διορθώσεις ανάλογα;zin;;grammatica
0867;;jij bent blij;χαίρεσαι;ww.;;emoties, behoeftes
0868;;ik wist het;ήξερα;ww.;;converseren
0869;;Tot morgen in persoon!;Τα λέμε αύριο από κοντά!;zin;uitdr.;converseren, uitdrukkingen
0870;;Ik wou dat ik dat was!;Θα ήθελα να ήμουν!;zin;;emoties, behoeftes
0871;;kleine vogel;(το) πουλάκι;znw.;diminutief;dieren, natuur
0872;;ik was aan het luisteren;άκουγα;ww.;;converseren
0873;;Ik was erg blij!;Χάρηκα πάρα πολύ!;zin;;emoties, behoeftes
0874;;postzegelverzameling;(η) συλλογή γραμματοσήμων;znw.;;dingen
0875;;land， natie;(η) χώρα;znw.;;geografie, cultuur
0876;2025-02-18;onderstaand;παρακάτω;bijw.;;
0877;;de grote meerderheid;η μεγάλη πλειοψηφία;znw. groep;;hoeveelheden, meten
0878;2025-03-25;vrucht， fruit;(το) φρούτο - (τα) φρούτα;znw.;;voedsel, dingen
0879;;banaan;(η) μπανάνα;znw.;;voedsel, dingen
;;;(η) γαλοπούλα;;;
0880;;kokosnoot;(η) καρύδα;znw.;;voedsel, dingen
0881;;kersen;(τα) κεράσια;znw.;;voedsel, dingen
0882;;pruim;(το) δαμάσκηνο;znw.;;voedsel, dingen
;;;(το) κεράσι;;;
0883;;peer;(το) αχλάδι;znw.;;voedsel, dingen
0884;;(citroen)geel;κίτρινος -η -ον;bnw.;;kleuren & vormen, dingen
0885;;groen;πράσινος -η -ον;bnw.;;kleuren & vormen, dingen
0886;2025-02-25;rood;κόκκινος -η -ο;bnw.;;kleuren & vormen, dingen
0887;;prei;(το) πράσο;znw.;;voedsel, dingen
0888;;paars;μοβ;bnw.;;kleuren & vormen, dingen
0889;;beige;μπεζ;bnw.;;kleuren & vormen, dingen
0890;;roze;ροζ;bnw.;;kleuren & vormen, dingen
0891;;oranje;πορτοκαλί;bnw.;;kleuren & vormen, dingen
0892;;kastanjes;(τα) κάστανα;znw.;;voedsel, dingen
0893;;blauw;μπλε;bnw.;;kleuren & vormen, dingen
0894;;lichtblauw;γαλάζιος -α -ον;bnw.;;kleuren & vormen, dingen
;;bruin (koffiekleurig);καφέ;bnw.;;kleuren & vormen, dingen

0895;2025-02-18, 2025-03-11;¹jong ²nieuw;νέος -α -ο;bnw.;;
0896;;beestje， kapoentje;(το) ζουζούνι - (τα) ζουζούνια;znw.;;dieren, natuur
0897;;dennenboom;(το) έλατο;znw.;;natuur
0898;;takken;(τα) κλαδιά;znw.;;natuur
0899;2025-04-01;blad;(το) φύλλο - (τα) φύλλα;znw.;;natuur
0900;;geschenk;(το) δώρο;znw.;;dingen
;;;(το) αγόρι;;;
0901;;in de zomer;το καλοκαίρι;znw.;;kalender, meten
0902;;’s avonds;την εσπέραν;bijw.;formeler dan το βράδυ;kalender, meten
0903;;koning;(ο) βασιλεύς;znw.;;relaties, converseren
0904;;dichter;(ο) ποιητής;znw.;;beroepen, maatschappij
0905;;heren;(οι) άρχοντες;znw.;;relaties, converseren
0906;;herenhuis;(το) αρχοντικό;znw.;;dingen
0907;;definitie;(ο) ορισμός;znw.;;grammatica
0908;;de Goddelijke Geboorte van Christus;Χριστού η Θεία Γέννηση;znw. groep;;kalender, meten
0909;;ze kwamen;ήρθαν;ww.;3e mv. aor.;grammatica
0910;;(met) Kerstmis;(τα) Χριστούγεννα;znw.;;kalender, meten
0911;;(met) Nieuwjaar;(η) Πρωτοχρονιά;znw.;;kalender, meten
0912;;kerstliederen;(τα) κάλαντα;znw.;;kalender, meten
0913;;¹triangel ²driehoekjes (gebak);(τα) τρίγωνα;znw.;;kleuren & vormen, dingen
0914;;Christus is vandaag geboren!;Χριστός γεννάται σήμερον!;zin;;kalender, meten
0915;;Christus is waarlijk opgestaan!;Χριστός ανέστη αληθώς!;zin;;kalender, meten
0916;;de hemel(en);(οι) ουρανοί;znw.;;natuur
0917;;natuur;(η) φύσις;znw.;;natuur
0918;;zij verheugen zich;αγάλλονται;ww.;;emoties, behoeftes
0919;;hij is blij;χαίρεται;ww.;;emoties, behoeftes
0920;;wordt geboren;γεννιέται;ww.;pass.;grammatica
0921;;spelonkachtig;σπηλαίος -α -ο;bnw.;;natuur
0922;;kribbe;(η) φάτνη;znw.;;kalender, meten
0923;;paard;(το) άλογο;znw.;;dieren, natuur
0924;;dragen;φοράω;ww.;;kleding, behoeftes
0925;;druif;(το) σταφύλι - (τα) σταφύλια;znw.;mv.;voedsel, dingen
0926;;de appelsien is oranje;το πορτοκάλι είναι πορτοκαλί;zin;;kleuren & vormen, dingen
0927;;de koffie is bruin;ο καφές είναι καφέ;zin;;voedsel, dingen
0928;;ze verspreidden zich overal;σκόρπισαν παντού;zin;;
0929;;elk;κάθε;vnw.;;hoeveelheden, meten
0930;;nest;(η) φωλιά;znw.;;dieren, natuur
0931;;in de buurt;μέσα στη γειτονιά;zin;;geografie, cultuur
0932;;het heldere, stralende (licht);(το) φωτεινό;znw.;;filosofie, cultuur
0933;;feestelijk;γιορτινός -ή -ό;bnw.;;kalender, meten
0934;2025-05-06;bericht;(το) μήνυμα - (τα) μηνύματα;znw.;;converseren
;;;ετοιμάζω;;;
0935;;lopen;τρέχω;ww.;;reizen, routines
0936;;¹voeden， voeren ²onderhouden;τρέφω;ww.;;voedsel, dingen
0937;;stilte;(η) σιγαλιά;znw.;;emoties, behoeftes
0938;;omhelzing gaat open;ανοίγει η αγκαλιά;zin;;emoties, behoeftes
0939;;liefde maakte van het hart een nest;έκανε η αγάπη την καρδιά φωλιά;zin;;emoties, behoeftes
0940;;Iets langzamer, alstublieft.;Λίγο πιο αργά, παρακαλώ.;zin;;converseren
0941;;Afrodite;η Αφροδίτη;eigennaam;;namen, cultuur
0942;;Ze doen een babbeltje;Αυτοί κάνουν κουβέντα;zin;;converseren
0943;;ze praten;μιλάνε;ww.;3e mv.;converseren
0944;;ziekenhuis;(το) νοσοκομείο;znw.;;lichaam, behoeftes
;;;(το) μουσείο;;;
;;;(το) καφενείο;;;
0945;;Kom, kom!;Έλα, έλα!;uitdr.;;converseren, uitdrukkingen
0946;;Kom voor koffie!;Έλα για καφέ!;uitdr.;;converseren, uitdrukkingen
0947;;Zullen we koffie gaan drinken?;Πάμε για καφέ;;zin;vraagzin;reizen, routines
0948;;Vertrouw je me niet?;Δεν με εμπιστεύεσαι;;zin;vraagzin;emoties, behoeftes
0949;;rechte lijn;(η) ευθεία(ν);znw.;;kleuren & vormen, dingen
0950;;meneer (voc.);κύριε;znw.;vocatief;converseren
0951;;mevrouw (voc.);κυρία;znw.;vocatief;converseren
;;;Τι δουλειά κάνεις;;;;
0952;;¹een paar minuten ²(een) momentje;λίγα λεπτά;znw.;;kalender, meten
0953;;Wel wel, u woont ver!;Πωπω, μένετε μακριά!;zin;;converseren, uitdrukkingen
0954;;ik denk dat …;νομίζω πως/ότι …;ww.;;converseren, uitdrukkingen
0955;;Vrolijk Kerstfeest!;Καλά Χριστούγεννα!;uitdr.;;converseren, uitdrukkingen
0956;;Gelukkig Nieuwjaar!;¹Ευτυχισμένος ο καινούργιος χρόνος! ²Καλή χρονιά!;uitdr.;;converseren, uitdrukkingen
0957;;Gezondheid, liefde en vreugde in het nieuwe jaar!;Υγεία, αγάπη και χαρά το νέο έτος!;uitdr.;;converseren, uitdrukkingen
0958;;Ik heb het gisteravond gemaakt/gedaan.;Το έφτιαξα χθες το βράδυ.;zin;;kalender, meten
0959;2025-02-04;zoeken;ψάχνω;ww.;;grammatica
0960;2025-02-04;persoon;(το) άτομο;znw.;;relaties, converseren
0961;2025-02-04, 2025-02-25;kleren， kleding， kledij;(τα) ρούχα;znw.;;kleding, behoeftes
;;;Τι φοράει;;;;
0962;2025-02-04;kostuum;ένα κοστούμι;znw.;;kleding, behoeftes
0963;2025-02-04, 2025-02-25;sjaal;(το) κασκόλ;znw.;;kleding, behoeftes
0964;2025-02-04;trui;(το) πουλόβερ;znw.;;kleding, behoeftes
