υπερλήμμα	λήμμα	CEF level	Συχνότητα (Frequency)	τύπος λέξης
	πολεμώ	A2	3007	ρ.	
	σωματικός	A2	3005	επίθ.	
	παραγωγός	A2	2997	ουσ.	
	ιστός	A2	2996	ουσ.	
	καταβάλλω	A2	2994	ρ.	
	υποδομή	A2	2992	ουσ.	
	υιοθετώ	A2	2981	ρ.	
	παράξενος	A2	2980	επίθ.	
	στήλη	A2	2979	ουσ.	
	πλούτος	A2	2976	ουσ.	
	ύφος	A2	2971	ουσ.	
	ταιριάζω	A2	2966	ρ.	
	ζημιά	A2	2962	ουσ.	
	άσχετος	A2	2959	επίθ.	
	δικηγόρος	A2	2959	ουσ.	
	άπειρος	A2	2956	επίθ.	
	οπτικός	A2	2950	επίθ., ουσ.
	μεριά	A2	2945	ουσ.	
	πλεονέκτημα	A2	2944	ουσ.	
	ερευνητικός	A2	2942	επίθ.	
	ιδεολογικός	A2	2936	επίθ.	
	αναλύω	A2	2928	ρ.	
	απλώνω	A2	2928	ρ.	
	αξιόλογος	A2	2924	επίθ.	
	επαναστατικός	A2	2923	επίθ.	
	αέριο	A2	2922	ουσ., επίθ.
αέριο	αέριο του θερμοκηπίου			ονοματική φράση
	καταργώ	A2	2921	ρ.	
	αθλητής	A2	2920	ουσ.	
	θυσία	A2	2920	ουσ.	
	ψώνια	A2	2920	ουσ.	
	βάσει	A2	2916	επίρρ., πρόθ., ουσ.
	πλάτη	A2	2914	ουσ.	
	προσβάλλω	A2	2914	ρ.	
	προσαρμόζω	A2	2911	ρ.	
	διεξάγω	A2	2908	ρ.	
	δόση	A2	2908	ουσ.	
	εντάξει	A2	2908	επίρρ., επιφ.
	τουρισμός	A2	2906	ουσ.	
	γυναικείος	A2	2905	επίθ.	
	στρώμα	A2	2905	ουσ.	
	στήριξη	A2	2904	ουσ.	
	θεατρικός	A2	2901	επίθ.	
θεατρικός	θεατρικό έργο			ονοματική φράση	
	αποστέλλω	A2	2900	ρ.	
	φτηνός	A2	2895	επίθ.	
	κεφαλή	A2	2892	ουσ.	
	γεύση	A2	2890	ουσ.	
	προώθηση	A2	2889	ουσ.	
	παραδέχομαι	A2	2888	ρ.	
	σύγκριση	A2	2888	ουσ.	
	τάφος	A2	2888	ουσ.	
	διαμόρφωση	A2	2883	ουσ.	
	μνημείο	A2	2882	ουσ.	
	κατάρτιση	A2	2879	ουσ.	
	χορός	A2	2877	ουσ.	
	μοναστήρι	A2	2874	ουσ.	
	φιλικός	A2	2874	επίθ.	
	κλέβω	A2	2871	ρ.	
	δίχως	A2	2865	πρόθ.	
	έντυπο	A2	2865	ουσ.	
	ανταποκρίνομαι	A2	2862	ρ.	
	θετικά	A2	2859	επίρρ., επίθ.
	μπάνιο	A2	2857	ουσ.	
	άριστος	A2	2856	επίθ.	
	άραγε	A2	2853	επίρρ., σύνδ.
	γέλιο	A2	2851	ουσ.	
	περαιτέρω	A2	2851	επίρρ., ουσ.
	τυχόν	A2	2851	επίρρ., δεικτ. αντων., μτχ.
	φίλη	A2	2848	ουσ.	
	υλικός	A2	2835	επίθ.	
	αξιωματικός	B1	2835	επίθ., ουσ.
	χειρουργικός	B1	2832	επίθ.	
	μαμά	B1	2828	ουσ.	
	κυνηγάω, κυνηγώ	B1	2817	ρ.	
	συνειδητοποιώ	B1	2812	ρ.	
	ιατρός	B1	2809	ουσ.	
	δύσκολα	B1	2807	επίρρ., επίθ.
	μεταδίδω	B1	2807	ρ.	
	μπράβο	B1	2807	επιφ.	
	ροή	B1	2807	ουσ.	
	εισόδημα	B1	2805	ουσ.	
	φροντίδα	B1	2804	ουσ.	
	μέτωπο	B1	2801	ουσ.	
	ασφαλιστικός	B1	2800	επίθ.	
	κυρίαρχος	B1	2797	επίθ.	
	πανεπιστημιακός	B1	2795	επίθ.	
	παρόλο	B1	2795	σύνδ.	
παρόλο	παρόλο που			έκφρ.	
	ομόλογος	B1	2793	επίθ., ουσ.
	κρεβάτι	B1	2792	ουσ.	
	συνεδριάζω	B1	2791	ρ.	
	έξοδος	B1	2787	ουσ.	
	διατυπώνω	B1	2786	ρ.	
	κινηματογράφος	B1	2784	ουσ.	
	αντίστοιχα	B1	2783	επίρρ., επίθ., ουσ.
	βίντεο	B1	2779	ουσ.	
	πύλη	B1	2778	ουσ.	
	ευχή	B1	2777	ουσ.	
	τοποθεσία	B1	2777	ουσ.	
	φιλοσοφικός	B1	2772	επίθ.	
	άλλοτε	B1	2769	επίρρ.	
	τόμος	B1	2766	ουσ.	
	ματς	B1	2761	ουσ.	
	οικόπεδο	B1	2761	ουσ.	
	μαγικός	B1	2759	επίθ.	
	αυτοκόλλητο	B1	2758	ουσ., επίθ.
	σενάριο	B1	2754	ουσ.	
	βασιλικός	B1	2750	επίθ.	
	ακτή	B1	2745	ουσ.	
	καθιερώνω	B1	2742	ρ.	
	αρχιτεκτονική	B1	2740	ουσ., επίθ.
	ποινή	B1	2740	ουσ.	
	εξάλλου	B1	2739	επίρρ.	
	κλίμακα	B1	2737	ουσ.	
	αβγό, αυγό	B1	2736	ουσ.	
	αρχαιολογικός	B1	2734	επίθ.	
	εκλογικός	B1	2731	επίθ.	
	βόλτα	B1	2726	ουσ.	
	εκθέτω	B1	2726	ρ.	
	προτεραιότητα	B1	2723	ουσ.	
	προετοιμασία	B1	2717	ουσ.	
	απελευθέρωση	B1	2712	ουσ.	
	σπάνια	B1	2712	επίρρ., επίθ.
	εκλέγω	B1	2711	ρ.	
	κάλυψη	B1	2710	ουσ.	
	εξήγηση	B1	2709	ουσ.	
	υπολογισμός	B1	2708	ουσ.	
	κιθάρα	B1	2706	ουσ.	
	ηθοποιός	B1	2704	ουσ.	
	εμπιστοσύνη	B1	2703	ουσ.	
	εκτύπωση	B1	2702	ουσ.	
	σπουδάζω	B1	2701	ρ.	
	απειλώ	B1	2698	ρ.	
	θέληση	B1	2696	ουσ.	
	τηρώ	B1	2696	ρ.	
	αποκάλυψη	B1	2695	ουσ.	
	ατύχημα	B1	2693	ουσ.	
	ενεργειακός	B1	2692	επίθ.	
	πτυχίο	B1	2691	ουσ.	
	πακέτο	B1	2689	ουσ.	
	ερμηνεύω	B1	2687	ρ.	
	απόστολος	B1	2686	ουσ.	
	εκδηλώνω	B1	2686	ρ.	
	έξυπνος	B1	2686	επίθ.	
	τροποποίηση	B1	2684	ουσ.	
	αγόρι	B1	2683	ουσ.	
	καθολικός	B1	2683	επίθ.	
	κόλπο	B1	2683	ουσ.	
	νόμιμος	B1	2679	επίθ.	
	αισθητική	B1	2675	ουσ., επίθ.
	αποτυγχάνω, αποτυχαίνω	B1	2675	ρ.	
	καλλιεργώ	B1	2674	ρ.	
	ξεκάθαρος	B1	2673	επίθ.	
	συνήθεια	B1	2673	ουσ.	
	παραγωγικός	B1	2672	επίθ.	
	σοφός	B1	2672	επίθ.	
	δήθεν	B1	2670	επίρρ., επίθ.
	σημάδι	B1	2670	ουσ.	
	λουλούδι	B1	2665	ουσ.	
	φιλί	B1	2665	ουσ.	
	διαγράφω	B1	2662	ρ.	
	αργός	B1	2661	επίθ.	
	ψέμμα	B1	2659	ουσ.	
	σπάζω	B1	2658	ρ.	
	αυτοκίνητο	B1	2657	ουσ.	
	πρακτική	B1	2656	ουσ., επίθ.
	πετρέλαιο	B1	2651	ουσ.	
	τοπίο	B1	2651	ουσ.	
	συνεδρίαση	B1	2648	ουσ.	
	επεκτείνω	B1	2645	ρ.	
	χορηγία	B1	2645	ουσ.	
	κατάθεση	B1	2642	ουσ.	
	γλωσσικός	B1	2641	επίθ.	
	όραμα	B1	2640	ουσ.	
	ιδεολογία	B1	2634	ουσ.	
	ενημερώνομαι	B1	2633	ρ.	
	παλεύω	B1	2631	ρ.	
	οικολογικός	B1	2622	επίθ.	
	διορθώνω	B1	2619	ρ.	
	αποδεκτός	B1	2612	επίθ.	
	τρύπα	B1	2612	ουσ., ρ.
	προετοιμάζω	B1	2611	ρ.	
	παρακολούθηση	B1	2608	ουσ.	
	άνοιξη	B1	2607	ουσ.	
	προϋπολογισμός	B1	2607	ουσ.	
	δόγμα	B1	2606	ουσ.	
	ενδιαφερόμενος	B1	2606	επίθ.	
	μεταβολή	B1	2604	ουσ.	
	ιδιωτικοποίηση	B1	2602	ουσ.	
	τελετή	B1	2601	ουσ.	
	κινητήρας	B1	2600	ουσ.	
	αναγκαία	B1	2595	επίρρ., επίθ., ουσ.
	γενετικός	B1	2590	επίθ.	
	αρχαιότητα	B1	2589	ουσ.	
	πυρηνικός	B1	2589	επίθ.	
	εκατοντάδα	B1	2588	αριθ., ουσ.
	εγκρίνω	B1	2587	ρ.	
	κυριαρχώ	B1	2579	ρ.	
	συγκρίνω	B1	2577	ρ.	
	σπάνιος	B1	2574	επίθ., ουσ.
	χρεώνω	B1	2572	ρ.	
	αστείος	B1	2567	επίθ.	
	χριστιανικός	B1	2566	επίθ.	
	μπερδεύω	B1	2565	ρ.	
	επιρροή	B1	2562	ουσ.	
	πιέζω	B1	2561	ρ.	
	άλογο	B1	2558	ουσ., επίθ.
	ερευνώ	B1	2554	ρ.	
	υλοποίηση	B1	2548	ουσ.	
	ανάγνωση	B1	2544	ουσ.	
	εντυπωσιακός	B1	2542	επίθ.	
	πληροφορική	B1	2542	ουσ., επίθ.
	αεροπλάνο	B1	2541	ουσ.	
	επαρχία	B1	2540	ουσ.	
	γέφυρα	B1	2539	ουσ.	
	επανέρχομαι	B1	2535	ρ.	
	ισορροπία	B1	2535	ουσ.	
	φυλάγω, φυλάω	B1	2535	ρ.	
	βιώνω	B1	2534	ρ.	
	εργοστάσιο	B1	2530	ουσ.	
	εστία	B1	2530	ουσ.	
	παραμονή	B1	2530	ουσ.	
παραμονή	παραμονή Χριστουγέννων			έκονοματική φράση	
	διοργάνωση	B1	2527	ουσ.	
	εγγύηση	B1	2524	ουσ.	
	υπόσχομαι	B1	2524	ρ.	
	διοργανώνω	B1	2522	ρ.	
	ευχάριστος	B1	2521	επίθ.	
	ποτό	B1	2520	ουσ.	
	πληροφορώ	B1	2519	ρ.	
	πέρασμα	B1	2518	ουσ.	
	σκυλί	B1	2516	ουσ.	
	ενσωματώνω	B1	2515	ρ.	
	αέριος	B1	2513	επίθ.	
	διάγνωση	B1	2511	ουσ.	
	φιλοξενώ	B1	2511	ρ.	
	λεπτός	B1	2510	επίθ.	
	φιλόσοφος	B1	2509	ουσ., επίθ.
	θόρυβος	B1	2508	ουσ.	
	γένος	B1	2505	ουσ.	
	ιερέας	B1	2503	ουσ.	
	δεκάδα	B1	2502	αριθ., ουσ.
	θερμός	B1	2502	επίθ.	
	συγνώμη	B1	2501	ουσ., επιφ.
	κουτί	B1	2499	ουσ.	
	διεκδικώ	B1	2496	ρ.	
	μοναχός	B1	2496	ουσ., επίθ.
	διαθήκη	B1	2493	ουσ.	
	έντυπος	B1	2492	επίθ.	
	λόγιος	B1	2492	επίθ.	
	εθνικά	B1	2489	επίρρ., επίθ.
	μονοπάτι	B1	2487	ουσ.	
	μεταπτυχιακός	B1	2486	επίθ.	
	αεροδρόμιο	B1	2483	ουσ.	
	εγγράφω	B1	2483	ρ.	
	υγιής	B1	2483	επίθ.	
	άνοιγμα	B1	2480	ουσ.	
	μελλοντικός	B1	2476	επίθ.	
	χορήγηση	B1	2473	ουσ.	
	παράλληλος	B1	2468	επίθ.	
	όποτε	B1	2466	σύνδ.	
	χειροκροτώ	B1	2465	ρ.	
	κίνητρο	B1	2464	ουσ.	
	σιωπή	B1	2462	ουσ.	
	έκπληξη	B1	2457	ουσ.	
	φήμη	B1	2453	ουσ.	
	πληροφόρηση	B1	2451	ουσ.	
	άγχος	B1	2449	ουσ.	
	τυχαίος	B1	2443	επίθ.	
	υπερβολικός	B1	2443	επίθ.	
	παραμύθι	B1	2440	ουσ.	
	άγριος	B1	2430	επίθ.	
	υπομονή	B1	2427	ουσ.	
	αντικειμενικός	B1	2421	επίθ.	
	άδικος	B1	2420	επίθ.	
	άρχοντας	B1	2419	ουσ.	
	κυριαρχία	B1	2418	ουσ.	
	κάστρο	B1	2415	ουσ.	
	πρόληψη	B1	2415	ουσ.	
	διαφέρω	B1	2414	ρ.	
	προφανής	B1	2413	επίθ.	
	κινητοποιώ	B1	2412	ρ.	
	ψυχολόγος	B1	2411	ουσ.	
	πληρωμή	B1	2410	ουσ.	
	ραδιόφωνο	B1	2410	ουσ.	
	ψυχολογικός	B1	2410	επίθ.	
	αντιπροσωπεύω	B1	2409	ρ.	
	κατακτώ	B1	2409	ρ.	
	έγκριση	B1	2405	ουσ.	
	αμφισβητώ	B1	2404	ρ.	
	ανησυχητικός	B1	2404	επίθ.	
	ηλεκτρονική	B1	2397	ουσ., επίθ.
	σύγκλιση	B1	2395	ουσ.	
	αυστηρός	B1	2395	επίθ.	
	προσθήκη	B1	2395	ουσ.	
	σταθερά	B1	2395	επίρρ., επίθ., ουσ.
	σύμμαχος	B1	2395	ουσ., επίθ.
	θεματικός	B1	2394	επίθ.	
	καταπληκτικός	B1	2389	επίθ.	
	δάνειο	B1	2388	ουσ.	
	μεταφράζω	B1	2387	ρ.	
	φρέσκος	B1	2387	επίθ.	
	πρωτεύουσα	B1	2385	ουσ., επίθ.
	μετατροπή	B1	2384	ουσ.	
	τρομοκρατία	B1	2383	ουσ.	
	τσιγάρο	B1	2382	ουσ.	
	αγκαλιά	B1	2379	ουσ., επίρρ.
	άξιος	B1	2376	επίθ.	
	υπόγειος	B1	2373	επίθ., ουσ.
υπόγειος	υπόγειος σιδηρόδρομος			ονοματική φράση	
	αμφιβολία	B1	2371	ουσ.	
	προτίμηση	B1	2367	ουσ.	
	ακαδημαϊκός	B1	2366	επίθ.	
	εισιτήριο	B1	2366	ουσ., επίθ.
	πύραυλος	B1	2364	ουσ.	
	κίτρινος	B1	2364	επίθ.	
	αυθεντικός	B1	2363	επίθ.	
	διαρκώ	B1	2361	ρ.	
	σκοτάδι	B1	2361	ουσ.	
	αντιπρόσωπος	B1	2359	ουσ.	
	φορτίο	B1	2359	ουσ.	
	πυρκαγιά	B1	2358	ουσ.	
	ήττα	B1	2357	ουσ.	
	όροφος	B1	2357	ουσ.	
	κατώτερος	B1	2355	επίθ.	
	ναυτικός	B1	2355	επίθ.	
	κτίζω	B1	2354	ρ.	
	δίκη	B1	2353	ουσ.	
	περιστατικό	B1	2353	ουσ.	
	φόρμα	B1	2353	ουσ.	
	μεταρρύθμιση	B1	2352	ουσ.	
	περίφημος	B1	2352	επίθ.	
	σύσταση	B1	2351	ουσ.	
	ειδικότητα	B1	2350	ουσ.	
	δάκρυ	B1	2349	ουσ.	
	οικουμενικός	B1	2348	επίθ.	
	σωτηρία	B1	2348	ουσ.	
	γυρνάω, γυρνώ	B1	2347	ρ.	
	επιθετικός	B1	2346	επίθ.	
	φίλτρο	B1	2346	ουσ.	
	χιλιόμετρο	B1	2344	ουσ.	
	στήθος	B1	2343	ουσ.	
	γλιτώνω	B1	2341	ρ.	
	ευαγγέλιο	B1	2341	ουσ.	
	ευτυχία	B1	2340	ουσ.	
	συμπεριλαμβανόμενος	B1	2340	επίθ.	
	φωτεινός	B1	2338	επίθ.	
	πάθηση	B1	2336	ουσ.	
	στερώ	B1	2335	ρ.	
	μονάχα	B1	2332	επίρρ.	
	σφαίρα	B1	2330	ουσ.	
	τυπικός	B1	2330	επίθ.	
	μεσημέρι	B1	2329	ουσ.	
	ανταλλαγή	B1	2328	ουσ.	
	αρχιεπίσκοπος	B1	2328	ουσ.	
	λατρεύω	B1	2328	ρ.	
	νικητής	B1	2328	ουσ.	
	ανάμνηση	B1	2327	ουσ.	
	καπιταλισμός	B1	2325	ουσ.	
	δημοφιλής	B1	2322	επίθ.	
	ελαφρά	B1	2322	επίρρ.	
	ονειρεύομαι	B1	2320	ρ.	
	κύπελλο	B1	2317	ουσ.	
	θαλάσσιος	B1	2315	επίθ.	
	δολάριο	B1	2310	ουσ.	
	ντύνω	B1	2310	ρ.	
	κινδυνεύω	B1	2309	ρ.	
	έντονα	B1	2307	επίρρ., επίθ.
	παράρτημα	B1	2306	ουσ.	
	μαρτυρία	B1	2304	ουσ.	
	γραμματεία	B1	2298	ουσ.	
	δικαιούμαι	B1	2298	ρ.	
	γεωγραφικός	B1	2297	επίθ.	
	διαλύω	B1	2292	ρ.	
	Ισπανία	B1	2292	κ.ό.	
	υπερασπίζω	B1	2292	ρ.	
	άρρωστος	B1	2291	επίθ., ουσ.
	νόμισμα	B1	2291	ουσ.	
	πιάτο	B1	2289	ουσ.	
	φανερός	B1	2289	επίθ.	
	τυφλός	B1	2287	επίθ.	
	γιαγιά	B1	2286	ουσ.	
	δάχτυλο	B1	2286	ουσ.	
δάχτυλο	δάχτυλο ποδιού			έονοματική φράση	
	ημερολόγιο	B1	2283	ουσ.	
	ιδανικός	B1	2283	επίθ.	
	δίπλωμα	B1	2281	ουσ.	
	πάλη	B1	2280	ουσ.	
	περιθώριο	B1	2278	ουσ.	
	βαθμολογία	B1	2276	ουσ.	
	διδακτικός	B1	2276	επίθ.	
	δρω	B1	2276	ρ.	
	εκδρομή	B1	2275	ουσ.	
	ηλίθιος	B1	2275	επίθ.	
	αυτοκινητιστικός	B1	2270	επίθ.	
	ανήσυχος	B1	2269	επίθ.	
	φωτίζω	B1	2268	ρ.	
	ευαίσθητος	B1	2267	επίθ.	
	κατάληψη	B1	2266	ουσ.	
	κορμί	B1	2264	ουσ.	
	ρυθμίζω	B1	2264	ρ.	
	σπόρος	B1	2263	ουσ.	
	λαιμός	B1	2261	ουσ.	
	στρατηγός	B1	2260	ουσ.	
	εξειδικεύω	B1	2259	ρ.	
	βδομάδα	B1	2258	ουσ.	
	πρόσθετος	B1	2256	επίθ.	
	πρώτον	B1	2255	επίρρ.	
	λατρεία	B1	2254	ουσ.	
	παπάς	B1	2254	ουσ.	
	πλην	B1	2254	πρόθ., ουσ., πρόθ.
	ακτίνα	B1	2252	ουσ.	
	οπωσδήποτε	B1	2252	επίρρ.	
	οκτώ, οχτώ	B1	2251	απόλ.	
	εστιατόριο	B1	2249	ουσ.	
	δίκαιος	B1	2247	επίθ.	
	ισοτιμία	B1	2243	ουσ.	
	διαπραγμάτευση	B1	2243	ουσ.	
	αμοιβή	B1	2240	ουσ.	
	θητεία	B1	2239	ουσ.	
	εύρημα	B1	2238	ουσ.	
	νεολαία	B1	2238	ουσ.	
	εκδοχή	B1	2232	ουσ.	
	αθλητισμός	B1	2231	ουσ.	
	πρόβλεψη	B1	2230	ουσ.	
	είκοσι	B1	2229	απόλ., αριθ.
	νούμερο	B1	2229	ουσ.	
	προφήτης	B1	2228	ουσ.	
	στιλ	B1	2228	ουσ.	
	παράδεισος	B1	2227	επίθ., ουσ.
	συνήθης	B1	2227	επίθ.	
	αλάτι	B1	2226	ουσ.	
	μέτριος	B1	2226	επίθ.	
	προηγούμαι	B1	2224	ρ.	
	θείος	B1	2222	ουσ., επίθ.
	προδιαγραφή	B1	2222	ουσ.	
	τεχνητός	B1	2222	επίθ.	
	σύλληψη	B1	2221	ουσ.	
	βιβλιογραφία	B1	2220	ουσ.	
	διανομή	B1	2220	ουσ.	
	ολοκλήρωση	B1	2218	ουσ.	
	καύσιμο	B1	2214	ουσ., επίθ.
	ανεργία	B1	2211	ουσ.	
	εκατό	B1	2210	απόλ., αριθ., ουσ.
	αμυντικός	B1	2207	επίθ., ουσ.
	ποτήρι	B1	2207	ουσ.	
	ποιοτικός	B1	2206	επίθ.	
	τροποποιώ	B1	2206	ρ.	
	καθίζω	B1	2201	ρ.	
	ασφαλώς	B1	2201	επίρρ.	
	αυλή	B1	2198	ουσ.	
	γειτονιά	B1	2198	ουσ.	
	προορισμός	B1	2197	ουσ.	
	δημιουργικός	B1	2195	επίθ.	
	στοίχημα	B1	2195	ουσ.	
	χείμαρρος	B1	2191	ουσ.	
	εκμεταλλεύομαι	B1	2190	ρ.	
	διακόπτω	B1	2189	ρ.	
	σύνθημα	B1	2188	ουσ.	
	εξίσου	B1	2186	επίρρ.	
	ακτινοβολία	B1	2183	ουσ.	
	επεξεργάζομαι	B1	2183	ρ.	
	προγραμματισμός	B1	2183	ουσ.	
	δευτερόλεπτο	B1	2181	ουσ.	
	απαράδεκτος	B1	2180	επίθ.	
	κληρονομιά	B1	2173	ουσ.	
	ινστιτούτο	B1	2172	ουσ.	
	άσχημος	B1	2170	επίθ.	
	δεκτός	B1	2170	επίθ.	
	αργώ	B1	2168	βοηθ. ρ.
	συν	B1	2166	πρόθ., ουσ., πρόθ.
	τυχερός	B1	2166	επίθ.	
	αντιστοιχώ	B1	2165	ρ.	
	ευαισθησία	B1	2165	ουσ.	
	ταυτίζω	B1	2164	ρ.	
	ελιά	B1	2161	ουσ.	
	μόριο	B1	2161	ουσ.	
	αξιοποιώ	B1	2160	ρ.	
	μυθιστόρημα	B1	2160	ουσ.	
	κοινά	B1	2156	ουσ., επίθ.
	κονδύλιο	B1	2155	ουσ.	
	εκστρατεία	B1	2155	ουσ.	
	κύκλωμα	B1	2155	ουσ.	
	μεταλλικός	B1	2154	επίθ.	
	ακραίος	B1	2152	επίθ.	
	σέρνω	B1	2151	ρ.	
	πνίγω	B1	2150	ρ.	
	περιπέτεια	B1	2148	ουσ.	
	πολλαπλός	B1	2148	επίθ.	
	άστρο	B1	2147	ουσ.	
	υλοποιώ	B1	2144	ρ.	
	επιχειρηματικός	B1	2140	επίθ.	
	μαθηματικός	B1	2139	επίθ., ουσ.
	ομολογώ	B1	2139	ρ.	
	ενυδρείο	B1	2138	ουσ.	
	λεωφορείο	B1	2137	ουσ.	
	εμπόδιο	B1	2136	ουσ.	
	ηλιακός	B1	2136	επίθ., ουσ.
	καλώδιο	B1	2136	ουσ.	
	ευθύς	B1	2135	επίθ.	
	φοιτητικός	B1	2135	επίθ.	
	έμφαση	B1	2133	ουσ.	
	θεατής	B1	2132	ουσ.	
	διοικητής	B1	2131	ουσ.	
	έλεος	B1	2131	ουσ., επιφ.
	μετάδοση	B1	2131	ουσ.	
	εξάμηνος	B1	2130	επίθ.	
	απέχω	B1	2130	ρ.	
	συντάκτης	B1	2130	ουσ.	
	χαμηλά	B1	2129	επίρρ., επίθ.
	κάμερα	B1	2128	ουσ.	
	ταχυδρομείο	B1	2128	ουσ.	
	διαδίδω	B1	2127	ρ.	
	αγρότης	B1	2126	ουσ.	
	απαλλάσσω	B1	2126	ρ.	
	παράμετρος	B1	2126	ουσ.	
	αγωνία	B1	2125	ουσ.	
	φρούτο	B1	2123	ουσ.	
	σεξ	B1	2121	ουσ.	
	συμβολή	B1	2121	ουσ.	
	συγχωρώ	B1	2120	ρ.	
	τυχαία	B1	2120	ουσ., επίθ., επίρρ.
	μπλε	B1	2115	επίθ.	
	σκηνοθέτης	B1	2113	ουσ.	
	υπερήφανος	B1	2113	επίθ.	
	μύτη	B1	2109	ουσ.	
	χαμόγελο	B1	2104	ουσ.	
	επιβίωση	B1	2103	ουσ.	
	αρμοδιότητα	B1	2102	ουσ.	
	φάκελος	B1	2102	ουσ.	
	βαριά	B1	2101	επίρρ., επίθ., ουσ.
	αναρτώ	B1	2100	ρ.	
	χριστουγεννιάτικος	B1	2100	επίθ.	
	πρόσκληση	B1	2099	ουσ.	
	σχηματισμός	B1	2099	ουσ.	
	ανακατεύω	B1	2098	ρ.	
	γνήσιος	B1	2098	επίθ.	
	υποβολή	B1	2097	ουσ.	
	χρηματοδοτικός	B1	2095	επίθ.	
	διαρκής	B1	2094	επίθ.	
	θεσμικός	B1	2093	επίθ.	
	τρόφιμος	B1	2090	ουσ., επίθ.
	κατάργηση	B1	2089	ουσ.	
	πτήση	B1	2089	ουσ.	
	φιλελεύθερος	B1	2084	επίθ.	
	αυτόν	B1	2083	δεικτ. αντων.
	δεσμός	B1	2078	ουσ.	
	θεραπευτική	B1	2078	ουσ., επίθ.
	υποχρεωτικός	B1	2077	επίθ.	
	ακαδημία	B1	2073	ουσ.	
	γυμνός	B1	2073	επίθ.	
	απευθείας	B1	2070	επίρρ.	
	επίσκοπος	B1	2069	ουσ.	
	λαμπρός	B1	2068	επίθ.	
	σκόνη	B1	2068	ουσ.	
	αποτυχία	B1	2067	ουσ.	
	αποθήκη	B1	2066	ουσ.	
	κεφαλαίος	B1	2066	επίθ.	
	ένοπλος	B1	2063	επίθ.	
	αναλυτικός	B1	2062	επίθ.	
	προσωρινός	B1	2062	επίθ.	
	προσαρμογή	B1	2061	ουσ.	
	Γάλλος	B1	2059	κ.ό.
	λατινικός	B1	2058	επίθ.	
	καθυστέρηση	B1	2055	ουσ.	
	κομματικός	B1	2055	επίθ.	
	ολικός	B1	2055	επίθ.	
	υγιεινός	B1	2055	επίθ.	
	φαρμακευτικός	B1	2055	επίθ.	
	αλληλεγγύη	B1	2054	ουσ.	
	ικανοποίηση	B1	2054	ουσ.	
	δασικός	B1	2050	επίθ.	
	καπνός	B1	2049	ουσ.	
	σεισμός	B1	2048	ουσ.	
	κοινοβούλιο	B1	2047	ουσ.	
	ορίζοντας	B1	2047	ουσ., μτχ., ουσ.
	πάρκο	B1	2046	ουσ.	
	πλάσμα	B1	2046	ουσ.	
	φωτογραφικός	B1	2046	επίθ.	
	ένταλμα	B1	2043	ουσ.	
	ήσυχος	B1	2043	επίθ.	
	αναπαραγωγή	B1	2041	ουσ.	
	γείτονας	B1	2041	ουσ.	
	βασιλεία	B1	2040	ουσ., επίθ.
	αστέρι	B1	2037	ουσ.	
	ερωτεύομαι	B1	2035	ρ.	
	εξυπηρέτηση	B1	2033	ουσ.	
	βρίζω	B1	2032	ρ.	
	φορτώνω	B1	2031	ρ.	
	αρετή	B1	2030	ουσ.	
	καπιταλιστικός	B1	2028	επίθ.	
	αναβάθμιση	B1	2026	ουσ.	
	ενώπιον	B1	2023	πρόθ.	
	απαγόρευση	B1	2022	ουσ.	
	στατιστικός	B1	2021	επίθ.	
	κυνήγι	B1	2020	ουσ.	
	πρόβατο	B1	2020	ουσ.	
	ίχνος	B1	2019	ουσ.	
	απομένω	B1	2017	ρ.	
	αντίγραφο	B1	2016	ουσ.	
	ορθός	B1	2016	επίθ.	
	ουρά	B1	2016	ουσ.	
	ικανοποιητικός	B1	2015	επίθ.	
	νοοτροπία	B1	2012	ουσ.	
	διαμαρτυρία	B1	2011	ουσ.	
	καθαρισμός	B1	2011	ουσ.	
	οξύ	B1	2008	ουσ., επίθ.
	άμμος	B1	2007	ουσ.	
	ηθική	B1	2007	ουσ.	
	βρετανικός	B1	2006	επίθ.	
	τείχος	B1	2006	ουσ.	
	τιμωρώ	B1	2006	ρ.	
	ζάχαρη	B1	2003	ουσ.	
	επίσημα	B1	2002	επίρρ., επίθ.
	παλαιός	B1	2001	επίθ.	
	έθιμο	B1	1999	ουσ.	
	επίδοση	B1	1999	ουσ.	
	συναισθηματικός	B1	1999	επίθ.	
	ποιητικός	B1	1997	επίθ.	
	παραπέμπω	B1	1996	ρ.	
	φωτισμός	B1	1996	ουσ.	
	σύνδρομο	B1	1995	ουσ.	
	δικτυακός	B1	1993	επίθ.	
	κουλτούρα	B1	1993	ουσ.	
	υπερβαίνω	B1	1992	ρ.	
	Πάσχα	B1	1990	κ.ό.
	πυρήνας	B1	1990	ουσ.	
	γάτα	B1	1989	ουσ.	
	παππούς	B1	1989	ουσ.	
	αλυσίδα	B1	1986	ουσ.	
	υποφέρω	B1	1986	ρ.	
	ψήφισμα	B1	1985	ουσ.	
	ταχύς	B1	1985	επίθ.	
	παράταξη	B1	1983	ουσ.	
	πολιτισμικός	B1	1983	επίθ.	
	βρέχω	B1	1981	ρ.	
	γεύμα	B1	1979	ουσ.	
	γωνιά	B1	1979	ουσ.	
	μετακίνηση	B1	1978	ουσ.	
	μυς	B1	1978	ουσ.	
	νεοελληνικός	B1	1978	επίθ.	
