ID	Συχνότητα (Frequency)	‰	CEF level	Λήμμα (Lemma)	Πολυλεκτικό σύνολο (MWE)	Μέρος του Λόγου (Part of speech)	Μετάφραση (Translation)	Σχόλια μεταφραστή (Translator's comments)			
984	6249	0,108779187	A2	διαχείριση		Ουσιαστικό					
2626	1917	0,033370091	B1	διαχειριστής		Ουσιαστικό					
4921	805	0,01712766	C2	διαχειριστικός		Επίθετο					
	0	0	C2	διαχέω		Ρήμα					
4722	859	0,014953004	C1	διαχρονικός		Επίθετο					
3489	1314	0,022873396	B2	διαχωρίζω		Ρήμα					
2770	1774	0,030880825	B1	διαχωρισμός		Ουσιαστικό					
4746	851	0,014813744	C1	διαψεύδω		Ρήμα					
	0	0	C2	δίδαγμα		Ουσιαστικό					
	0	0	C2	διδακτέος 	διδακτέα ύλη	Επίθετο, Έκφραση					
2290	2276	0,039619368	B1	διδακτικός		Επίθετο					
4278	1003	0,017459678	C1	διδακτορικός		Επίθετο					
	0	0	C2	δίδακτρα		Ουσιαστικό					
	0	0	C2	διδάκτωρ		Ουσιαστικό					
1093	5548	0,096576561	A2	διδασκαλία		Ουσιαστικό					
3697	1208	0,021028206	B2	διδάσκαλος		Ουσιαστικό					
941	6533	0,113722904	A1	διδάσκω		Ρήμα					
3568	1275	0,022194505	B2	διδάσκων		Επίθετο					
3361	1386	0,024126733	B2	δίδυμος		Επίθετο					
	0	0	C2	διεγείρω		Ρήμα					
	0	0	C2	διεθνές		Επίθετο					
325	17040	0,296623036	A1	διεθνής		Επίθετο					
4206	1025	0,017842642	C1	διεθνώς		Επίρρημα					
	0	0	C2	διείσδυση		ουσιαστικό					
5980	0	0	C2	διεισδύω		Ρήμα					
3478	1322	0,023012656	B2	διεκδίκηση		Ουσιαστικό					
2138	2496	0,043449008	B1	διεκδικώ		Ρήμα					
	0	0	C2	διεκπεραιώνω		Ρήμα					
	0	0	C2	διεξάγομαι		Ρήμα					
1916	2908	0,05062088	A2	διεξάγω		Ρήμα					
3232	1453	0,025293032	B2	διεξαγωγή		Ουσιαστικό					
	0	0	C2	διεξοδικά		Επίρρημα					
4460	937	0,016310785	C1	διέξοδος		Ουσιαστικό					
3490	1312	0,022838581	B2	διεργασία		Ουσιαστικό					
3756	1187	0,020662649	B2	διερεύνηση		Ουσιαστικό					
5124	763	0,013281888	C2	διερευνώ		Ρήμα					
	0	0	C2	διερμηνέας		Ουσιαστικό					
	0	0	C2	διερμηνεία		Ουσιαστικό					
	0	0	C2	διερμηνεύω		Ρήμα					
5202	731	0,015553191	C2	διέρχομαι		Ρήμα					
	0	0	C2	διευθέτηση		Ουσιαστικό					
5457	510	0,010851064	C2	διευθετώ		Ρήμα					
681	8736	0,152071528	A1	διεύθυνση		Ουσιαστικό					
1137	5361	0,093321367	A2	διευθυντής		Ουσιαστικό					
	0	0	C2	διευθυντής 	διευθυντής σχολείου	Ουσιαστικό, Έκφραση					
4990	790	0,01375189	C2	διευθύνω		Ρήμα					
3073	1553	0,033042553	B2	διευθύνων		Επίθετο					
5120	764	0,013299296	C2	διευκόλυνση		Ουσιαστικό					
2664	1879	0,032708608	B1	διευκολύνω		Ρήμα					
3217	1461	0,025432292	B2	διευκρινίζω		Ρήμα					
4331	982	0,020893617	C1	διευκρίνιση		Ουσιαστικό					
3498	1309	0,022786359	B2	διεύρυνση		Ουσιαστικό					
3621	1247	0,021707097	B2	διευρύνω		Ρήμα					
3693	1210	0,021063021	B2	διήγημα		Ουσιαστικό					
4193	1029	0,017912271	C1	διηγούμαι		Ρήμα					
5162	750	0,013055591	C2	δικάζω		Ρήμα					
3561	1278	0,027191489	B2	δίκαια		Επίρρημα					
977	6309	0,109823634	A2	δίκαιο		Ουσιαστικό					
5281	655	0,01606969	C2	δικαιοδοσία		Ουσιαστικό					
4768	844	0,017957447	C1	δικαιολογητικά		Επίρρημα					
4250	1013	0,017633752	C1	δικαιολογητικός		Επίθετο					
3058	1561	0,027173037	B2	δικαιολογία		Ουσιαστικό					
1752	3286	0,057200898	A2	δικαιολογώ		Ρήμα					
2319	2247	0,039114552	B1	δίκαιος		Επίθετο					
1325	4501	0,078350956	A2	δικαιοσύνη		Ουσιαστικό					
2272	2298	0,040002332	B1	δικαιούμαι		Ρήμα					
3795	1167	0,0203145	B2	δικαιούχος		Επίθετο					
203	23281	0,405262963	A1	δικαίωμα	δικαίωμα ιδιοκτησίας	Ουσιαστικό, Έκφραση					
3635	1239	0,021567837	B2	δικαιώνω		Ρήμα					
	0	0	C2	δικαίως		Επίρρημα					
893	6845	0,11915403	A1	δικαστήριο		Ουσιαστικό					
2903	1671	0,029087858	B1	δικαστής		Ουσιαστικό					
1857	3058	0,053231998	A2	δικαστικός		Επίθετο					
2224	2353	0,040959742	B1	δίκη		Ουσιαστικό					
5759	0	0	C2	δική μου,σου,του,της,μας,σας		Αντωνυμία					
5522	0	0	C2	δική τους		Αντωνυμία					
5337	625	0,015333674	C2	δικηγορικός		Επίθετο					
1893	2959	0,05150866	A2	δικηγόρος		Ουσιαστικό					
	0	0	C2	δίκλινο		Ουσιαστικό					
	0	0	C2	δικό μου,σου,του,της,μας,σας,τους		Αντωνυμία					
5479	0	0	C2	δικονομικός		Επίθετο					
92	42234	0,73518646	A1	δικός		Επίθετο					
	0	0	C2	δικός μου,σου,του,της,μας,σας,τους		Αντωνυμία					
	0	0	C2	δικτάτορας		Ουσιαστικό					
3307	1418	0,024683771	B2	δικτατορία		Ουσιαστικό					
2547	1993	0,034693058	B1	δικτυακός		Επίθετο					
633	9537	0,1660149	A1	δίκτυο		Ουσιαστικό					
4620	888	0,01545782	C1	δίλημμα		Ουσιαστικό					
	0	0	C2	διμοιρία		Ουσιαστικό					
63	65510	1,140362386	A1	δίνω	δίνω έμφαση, δίνω τη δυνατότητα	Ρήμα, Έκφραση					
5471	506	0,010765957	C2	διογκώνω		Ρήμα					
823	7416	0,129093687	A1	διοίκηση		Ουσιαστικό					
2416	2131	0,037095287	B1	διοικητής		Ουσιαστικό					
1034	5949	0,103556951	A2	διοικητικός		Επίθετο					
	0	0	C2	διοικώ		Ρήμα					
	0	0	C2	διοξείδιο του άνθρακα	διοξείδιο του άνθρακα	Ουσιαστικό					
2116	2522	0,043901602	B1	διοργανώνω		Ρήμα					
2113	2527	0,043988639	B1	διοργάνωση		Ουσιαστικό					
2065	2619	0,045590125	B1	διορθώνω		Ρήμα					
2910	1665	0,028983413	B1	διόρθωση		Ουσιαστικό					
3269	1435	0,024979698	B2	διορίζω		Ρήμα					
4793	838	0,014587447	C1	διορισμός		Ουσιαστικό					
339	16398	0,285447449	A1	διότι		Σύνδεσμος					
4944	800	0,017021277	C2	διοχετεύω		Ρήμα					
2811	1743	0,030341194	B1	διπλά		Επίρρημα					
917	6738	0,117291433	A1	δίπλα		Επίρρημα					
3566	1275	0,022194505	B2	διπλανός		Επίθετο					
5347	618	0,013148936	C2	διπλασιάζω		Ρήμα					
1464	4051	0,070517601	A2	διπλός		Αριθμητικό					
2287	2281	0,039706405	B1	δίπλωμα		Ουσιαστικό					
3944	1115	0,023723404	C1	διπλωμάτης		Ουσιαστικό					
4338	981	0,02087234	C1	διπλωματία		Ουσιαστικό					
3496	1311	0,022821174	B2	διπλωματικός		Επίθετο					
5811	0	0	C2	διπλώνω		Ρήμα					
	0	0	C2	δις		Επίρρημα					
3546	1286	0,022385987	B2	δισεκατομμύριο		Ουσιαστικό					
	0	0	C2	δισκίο		Ουσιαστικό					
	0	0	C2	δισκογραφικός 	δισκογραφικό άλμπουμ	Επίθετο, Έκφραση					
766	7919	0,137849637	A1	δίσκος		Ουσιαστικό					
	0	0	C2	δισταγμός		Ουσιαστικό					
3383	1374	0,023917843	B2	διστάζω		Ρήμα					
5105	765	0,013316703	C2	δίχτυ		Ουσιαστικό					
1938	2865	0,049872359	A2	δίχως		Πρόθεση					
	0	0	C2	δίψα		Ουσιαστικό					
4947	800	0,013925964	C2	διψάω		Ρήμα					
4726	857	0,014918189	C1	διώκω		Ρήμα					
3474	1323	0,023030063	B2	δίωξη		Ουσιαστικό					
	0	0	C2	διώροφος		Επίθετο					
2579	1969	0,034275279	B1	διώχνω		Ρήμα					
2073	2606	0,045363828	B1	δόγμα		Ουσιαστικό					
957	6432	0,111964751	A1	δοκιμάζω		Ρήμα					
3127	1523	0,026511554	B2	δοκιμασία		Ουσιαστικό					
1760	3271	0,056939786	A2	δοκιμή		Ουσιαστικό					
5163	750	0,013055591	C2	δοκίμιο		Ουσιαστικό					
	0	0	C2	δόκτωρ		Ουσιαστικό					
2264	2310	0,040211221	B1	δολάριο		Ουσιαστικό					
3304	1420	0,024718586	B2	δολοφονία		Ουσιαστικό					
3886	1136	0,019774869	B2	δολοφόνος		Ουσιαστικό					
4289	999	0,017390048	C1	δολοφονώ		Ρήμα					
1062	5738	0,099883978	A2	δομή		Ουσιαστικό					
3876	1139	0,019827091	B2	δομικός		Επίθετο					
1796	3195	0,055616819	A2	δόντι		Ουσιαστικό					
1548	3835	0,06675759	A2	δόξα		Ουσιαστικό					
4863	820	0,014274113	C1	δοξάζω		Ρήμα					
4115	1060	0,018451902	C1	δορυφορικός		Επίθετο					
3892	1134	0,019740054	B2	δορυφόρος		Ουσιαστικό					
1914	2908	0,05062088	A2	δόση		Ουσιαστικό					
5904	0	0	C2	δοσοληψία		Ουσιαστικό					
	0	0	C2	δότης		Ουσιαστικό					
	0	0	C2	δούκας		Ουσιαστικό					
300	17676	0,307694177	A1	δουλειά		Ουσιαστικό					
4185	1034	0,017999309	C1	δουλεία		Ουσιαστικό					
597	10186	0,177312338	A1	δουλεύω		Ρήμα					
	0	0	C2	δούλος		Ουσιαστικό					
3384	1372	0,023883028	B2	δοχείο		Ουσιαστικό					
4443	940	0,016363008	C1	δράκος		Ουσιαστικό					
	0	0	C2	δράμα		Ουσιαστικό					
3294	1427	0,024840438	B2	δραματικός		Επίθετο					
	0	0	C2	δραπετεύω		Ρήμα					
	0	0	C2	δραπέτης		Ουσιαστικό					
498	11835	0,206017232	A1	δράση		Ουσιαστικό					
3534	1290	0,022455617	B2	δραστηριοποιώ		Ρήμα					
5873	0	0	C2	δραστήριος		Επίθετο					
482	12243	0,213119473	A1	δραστηριότητα		Ουσιαστικό					
4770	844	0,014691892	C1	δράστης		Ουσιαστικό					
4114	1060	0,018451902	C1	δραστικός		Επίθετο					
	0	0	C2	δρομάκι		Ουσιαστικό					
	0	0	C2	δρομέας		Ουσιαστικό					
4674	875	0,015231523	C1	δρομολόγιο		Ουσιαστικό					
227	21348	0,371614352	A1	δρόμος		Ουσιαστικό					
3999	1095	0,019061163	C1	δροσερός		Επίθετο					
2292	2276	0,039619368	B1	δρω		Ρήμα					
	0	0	C2	δυάρι		Ουσιαστικό					
180	25789	0,448920861	A1	δύναμη		Ουσιαστικό					
5102	765	0,013316703	C2	δυναμικά		Επίρρημα					
5118	764	0,013299296	C2	δυναμική		Ουσιαστικό					
1138	5350	0,093129885	A2	δυναμικός		Επίθετο					
5142	757	0,013177444	C2	δυναμώνω		Ρήμα					
3879	1139	0,024234043	B2	δυνατά		Επίρρημα					
224	21645	0,376784366	A1	δυνατός		Επίθετο					
324	17052	0,296831925	A1	δυνατότητα		Ουσιαστικό					
	0	0	C2	δυνητικά		Επίρρημα					
	0	0	C2	δυνητικός		Επίθετο					
59	70369	1,22494521	A1	δύο, δυο	δύο πλευρές, δύο φορές	Αριθμητικό					
5206	726	0,015446809	C2	δυσαρέσκεια		Ουσιαστικό					
3821	1156	0,020123018	B2	δυσάρεστος		Επίθετο					
1825	3129	0,054467927	A2	δύση		Ουσιαστικό					
1955	2807	0,048862727	B1	δύσκολα		Επίρρημα					
2779	1763	0,030689343	B1	δυσκολεύω		Ρήμα					
1288	4663	0,081170963	A2	δυσκολία		Ουσιαστικό					
487	12102	0,210665022	A1	δύσκολος		Επίθετο					
	0	0	C2	δύσοσμος		Ουσιαστικό					
	0	0	C2	δύσπιστος		Επίθετο					
4376	966	0,020553191	C1	δυστύχημα		Ουσιαστικό					
4539	914	0,015910414	C1	δυστυχία		Ουσιαστικό					
	0	0	C2	δυστυχισμένος		Επίθετο					
680	8746	0,152245603	A1	δυστυχώς		Επίρρημα					
5304	644	0,013702128	C2	δυσφορία		Ουσιαστικό					
	0	0	C2	δυσχεραίνω		Ρήμα					
4713	861	0,018319149	C1	δυτικά		Επίρρημα					
741	8158	0,142010019	A1	δυτικός		Επίθετο					
2805	1745	0,030376009	B1	δώδεκα		Αριθμητικό					
	0	0	C2	δωδέκατος		Αριθμητικό					
857	7129	0,124097748	A1	δωμάτιο		Ουσιαστικό					
3618	1248	0,021724504	B2	δωρεά		Ουσιαστικό					
1401	4272	0,074364648	A2	δωρεάν		Επίρρημα					
	0	0	C2	δωρίζω		Ρήμα					
1380	4327	0,075322058	A2	δώρο	δώρο χριστουγέννων	Ουσιαστικό, Έκφραση					
	0	0	C2	δωροδοκία		Ουσιαστικό					
	0	0	C2	εάν		Σύνδεσμος					
344	16218	0,282314107	A1	εαυτός		Αντωνυμία					
736	8221	0,143106689	A1	εβδομάδα		Ουσιαστικό					
	0	0	C2	εβδομαδιαίος		Επίθετο					
5264	663	0,014106383	C2	εβδομήντα		Αριθμητικό					
5086	767	0,013351518	C2	έβδομος		Αριθμητικό					
	0	0	C2	εβραϊκός		Επίθετο					
5715	0	0	C2	Εβραίος		Ουσιαστικό					
	0	0	C2	εγγενής		Επίθετο					
	0	0	C2	εγγονή		Ουσιαστικό					
	0	0	C2	εγγόνι		Ουσιαστικό					
	0	0	C2	εγγονός		Ουσιαστικό					
786	7763	0,135134074	A1	εγγραφή		Ουσιαστικό					
1202	5045	0,087820611	A2	έγγραφο		Ουσιαστικό					
	0	0	C2	εγγράφομαι		Ρήμα					
720	8404	0,178808511	A1	έγγραφος		Επίθετο					
2147	2483	0,043222711	B1	εγγράφω		Ρήμα					
2115	2524	0,043936417	B1	εγγύηση		Ουσιαστικό					
	0	0	C2	εγγυητής		Ουσιαστικό					
3749	1190	0,020714872	B2	εγγυώμαι		Ρήμα					
	0	0	C2	εγείρομαι		Ρήμα					
	0	0	C2	εγείρω		Ρήμα					
	0	0	C2	εγκαθίσταμαι		Ρήμα					
1536	3878	0,067506111	A2	εγκαθιστώ		Ρήμα					
4769	844	0,014691892	C1	εγκαίνια		Ουσιαστικό					
5911	0	0	C2	εγκαινιάζω		Ρήμα					
4052	1079	0,018782644	C1	έγκαιρα		Επίρρημα					
	0	0	C2	έγκαιρος		Επίθετο					
	0	0	C2	εγκαίρως		Επίρρημα					
	0	0	C2	εγκάρδια		Επίρρημα					
5578	0	0	C2	εγκάρδιος		Επίθετο					
1441	4116	0,071649085	A2	εγκαταλείπω		Ρήμα					
4941	801	0,013943372	C2	εγκατάλειψη		Ουσιαστικό					
	0	0	C2	εγκαταλελειμμένος		Μετοχή, Επίθετο					
832	7302	0,127109237	A1	εγκατάσταση		Ουσιαστικό					
	0	0	C2	εγκατεστημένος		Μετοχή, Επίθετο					
	0	0	C2	εγκεκριμένος		Μετοχή, Επίθετο					
1416	4216	0,073389831	A2	εγκέφαλος		Ουσιαστικό					
1560	3793	0,066026477	A2	έγκλημα		Ουσιαστικό					
5049	777	0,013525593	C2	εγκληματίας		Ουσιαστικό					
4511	922	0,016049674	C1	εγκληματικός		Επίθετο					
5423	535	0,013125625	C2	εγκληματικότητα		Ουσιαστικό					
	0	0	C2	εγκοπή		Ουσιαστικό					
2085	2587	0,045033086	B1	εγκρίνω		Ρήμα					
2182	2405	0,04186493	B1	έγκριση		Ουσιαστικό					
4913	807	0,014047816	C1	εγκυκλοπαίδεια		Ουσιαστικό					
3676	1221	0,021254503	B2	εγκυμοσύνη		Ουσιαστικό					
4662	878	0,015283746	C1	έγκυος		Ουσιαστικό					
3048	1569	0,027312297	B2	έγκυρος		Επίθετο					
	0	0	C2	εγκώμιο		Ουσιαστικό					
3982	1100	0,019148201	C1	εγχείρημα		Ουσιαστικό					
4908	808	0,014065224	C1	εγχείρηση		Ουσιαστικό					
3351	1394	0,024265992	B2	εγχειρίδιο		Ουσιαστικό					
	0	0	C2	εγχειρίζω		Ρήμα					
4566	906	0,015771154	C1	έγχρωμος		Επίθετο					
3733	1196	0,020819316	B2	εγχώριος		Επίθετο					
4	997655	17,36663465	A1	εγώ		Αντωνυμία					
5368	600	0,014720327	C2	εγωισμός		Ουσιαστικό					
4279	1003	0,021340426	C1	εδαφικός		Επίθετο					
3782	1175	0,02045376	B2	εδάφιο		Ουσιαστικό					
882	6927	0,120581442	A1	έδαφος		Ουσιαστικό					
1212	5003	0,087089498	A2	έδρα		Ουσιαστικό					
5946	0	0	C2	εδραιώνω		Ρήμα					
81	47429	0,82561819	A1	εδώ		Επίρρημα					
5610	0	0	C2	εδώ	εδώ και	Έκφραση					
3536	1290	0,022455617	B2	εθελοντής		Ουσιαστικό					
	0	0	C2	εθελοντικά		Επίρρημα					
4966	796	0,013856334	C2	εθελοντικός		Επίθετο					
2541	1999	0,034797503	B1	έθιμο		Ουσιαστικό					
	0	0	C2	εθισμός		Ουσιαστικό					
2142	2489	0,052957447	B1	εθνικά		Επίρρημα					
3248	1447	0,025188588	B2	εθνικισμός		Ουσιαστικό					
5111	765	0,013316703	C2	εθνικιστής		Ουσιαστικό					
4108	1062	0,018486717	C1	εθνικιστικός		Επίθετο					
5891	0	0	C2	εθνικός	εθνική ομάδα, εθνική ομοσπονδία	Επίθετο, Έκφραση					
168	26687	0,464552755	A1	εθνικός		Επίθετο					
5550	0	0	C2	εθνικότητα		Ουσιαστικό					
817	7458	0,1298248	A1	έθνος		Ουσιαστικό					
982	6263	0,109022892	A2	είδηση		Ουσιαστικό					
1317	4546	0,079134291	A2	ειδικά		Επίρρημα					
	0	0	C2	ειδικευμένος		Επίθετο					
159	27983	0,487112817	A1	ειδικός		Επίθετο					
	0	0	C2	ειδικότερα		Επίθετο (κλιτή μορφή)					
2230	2350	0,04090752	B1	ειδικότητα		Ουσιαστικό					
	0	0	C2	ειδοποίηση		Ουσιαστικό					
3780	1176	0,020471167	B2	ειδοποιώ		Ρήμα					
186	24696	0,429894512	A1	είδος		Ουσιαστικό					
4569	906	0,015771154	C1	είδωλο		Ουσιαστικό					
	0	0	C2	ειδωλολατρικός		Επίθετο					
	0	0	C2	είθε		Επιφώνημα (μόριο)					
	0	0	C2	εικάζω		Ρήμα					
	0	0	C2	εικασία		Ουσιαστικό					
279	18476	0,321620141	A1	εικόνα		Ουσιαστικό					
	0	0	C2	εικονίδιο		Ουσιαστικό					
3966	1107	0,019270053	C1	εικονικός		Επίθετο					
	0	0	C2	εικονογράφηση		Ουσιαστικό					
	0	0	C2	εικονογραφώ		Ρήμα					
2332	2229	0,038801217	B1	είκοσι		Αριθμητικό					
	0	0	C2	εικοσιτετράωρο		Ουσιαστικό					
	0	0	C2	εικοστός		Αριθμητικό					
3017	1594	0,027747483	B2	ειλικρινά		Επίρρημα					
	0	0	C2	ειλικρίνεια		Ουσιαστικό					
3119	1527	0,026581184	B2	ειλικρινής		Επίθετο					
5	856323	14,9064042	A1	είμαι		Ρήμα					
	0	0	C2	είναι γνωστό ότι 		Ρήμα (Απρ. Έκφρ.)					
	0	0	C2	είναι δυνατόν		Ρήμα (Απρ. Έκφρ.)					
1526	3902	0,06792389	A2	ειρήνη		Ουσιαστικό					
	0	0	C2	ειρηνικά		Επίρρημα					
4073	1072	0,018660792	C1	ειρηνικός		Επίθετο					
	0	0	C2	ειρμός		Ουσιαστικό					
	0	0	C2	ειρωνεία		Ουσιαστικό					
	0	0	C2	ειρωνικός		Επίθετο					
2830	1727	0,030062675	B1	εισαγγελέας		Ουσιαστικό					
	0	0	C2	εισάγομαι		Ρήμα					
1412	4234	0,073703165	A2	εισάγω		Ρήμα					
867	7060	0,122896633	A1	εισαγωγή		Ουσιαστικό					
5088	767	0,013351518	C2	εισαγωγικός		Επίθετο					
4681	872	0,015179301	C1	εισβάλλω		Ρήμα					
	0	0	C2	εισβολέας		Ουσιαστικό					
3206	1468	0,025554144	B2	εισβολή		Ουσιαστικό					
2671	1874	0,032621571	B1	εισέρχομαι		Ρήμα					
3198	1470	0,025588959	B2	εισήγηση		Ουσιαστικό					
3308	1418	0,030170213	B2	εισηγούμαι		Ρήμα					
2210	2366	0,041186039	B1	εισιτήριο		Ουσιαστικό					
1959	2805	0,048827912	B1	εισόδημα		Ουσιαστικό					
4588	899	0,01912766	C1	εισοδηματικός		Επίθετο					
956	6433	0,111982159	A1	είσοδος		Ουσιαστικό					
	0	0	C2	εισπράκτορας		Ουσιαστικό					
3183	1484	0,031574468	B2	είσπραξη		Ουσιαστικό					
3941	1115	0,019409312	C1	εισπράττω		Ρήμα					
4543	912	0,015875599	C1	εισφορά		Ουσιαστικό					
214	22651	0,394296266	A1	είτε		Σύνδεσμος					
	0	0	C2	εκ νέου		Πρόθεση, Έκφραση					
	0	0	C2	εκ των προτέρων		Επίρρημα					
3626	1246	0,021689689	B2	έκαστος		Αντωνυμία					
2352	2210	0,038470476	B1	εκατό		Αριθμητικό					
	0	0	C2	εκατό χιλιάδες		Αριθμητικό					
1042	5894	0,102599541	A2	εκατομμύριο		Ουσιαστικό					
2084	2588	0,045050494	B1	εκατοντάδα		Αριθμητικό					
	0	0	C2	εκατοστό		Ουσιαστικό					
3683	1213	0,021115243	B2	εκατοστός		Αριθμητικό					
5050	777	0,016531915	C2	έκβαση		Ουσιαστικό					
	0	0	C2	εκδηλώνομαι		Ρήμα					
2026	2686	0,046756424	B1	εκδηλώνω		Ρήμα					
563	10784	0,187721996	A1	εκδήλωση		Ουσιαστικό					
1217	4954	0,086236533	A2	εκδίδω		Ρήμα					
4377	964	0,016780787	C1	εκδίκηση		Ουσιαστικό					
385	14751	0,256777371	A1	έκδοση		Ουσιαστικό					
2672	1874	0,032621571	B1	εκδότης		Ουσιαστικό					
3674	1221	0,021254503	B2	εκδοτικός	εκδοτικός οίκος	Επίθετο, Έκφραση					
2328	2232	0,03885344	B1	εκδοχή		Ουσιαστικό					
2293	2275	0,03960196	B1	εκδρομή		Ουσιαστικό					
104	38632	0,672484807	A1	εκεί		Επίρρημα					
93	41722	0,726273843	A1	εκείνος		Αντωνυμία					
	0	0	C2	εκθειάζω		Ρήμα					
601	10113	0,176041594	A1	έκθεση		Ουσιαστικό					
1999	2726	0,047452723	B1	εκθέτω		Ρήμα					
3836	1150	0,024468085	B2	εκκαθάριση		Ουσιαστικό					
4162	1044	0,018173383	C1	εκκίνηση		Ουσιαστικό					
4715	860	0,014970411	C1	έκκληση		Ουσιαστικό					
322	17086	0,297423778	A1	εκκλησία		Ουσιαστικό					
1788	3212	0,055912746	A2	εκκλησιαστικός		Επίθετο					
5340	624	0,013276596	C2	εκκρεμής		Επίθετο					
3583	1265	0,026914894	B2	εκκρεμότητα		Ουσιαστικό					
5619	0	0	C2	εκλαμβάνω		Ρήμα					
2004	2711	0,047191611	B1	εκλέγω		Ρήμα					
3595	1258	0,021898579	B2	εκλεκτός		Επίθετο					
	0	0	C2	εκλεπτυσμένος		Επίθετο					
	0	0	C2	εκλιπαρώ		Ρήμα					
	0	0	C2	εκλογές		Ουσιαστικό					
659	9210	0,160322662	A1	εκλογή		Ουσιαστικό					
1997	2731	0,04753976	B1	εκλογικός		Επίθετο					
4375	966	0,016815602	C1	εκμάθηση		Ουσιαστικό					
2367	2190	0,038122327	B1	εκμεταλλεύομαι		Ρήμα					
1784	3226	0,05615645	A2	εκμετάλλευση		Ουσιαστικό					
5775	0	0	C2	εκμυστηρεύομαι		Ρήμα					
5047	778	0,013543	C2	εκνευρίζω		Ρήμα					
	0	0	C2	εκνευρισμός		Ουσιαστικό					
	0	0	C2	εκούσιος		Επίθετο					
420	13458	0,234269531	A1	εκπαίδευση		Ουσιαστικό					
4217	1023	0,017807827	C1	εκπαιδευτής		Ουσιαστικό					
613	9820	0,170941209	A1	εκπαιδευτικός		Επίθετο					
2794	1752	0,030497861	B1	εκπαιδεύω		Ρήμα					
3010	1600	0,027851928	B2	εκπέμπω		Ρήμα					
2860	1705	0,029679711	B1	εκπληκτικός		Επίθετο					
2156	2457	0,042770117	B1	έκπληξη		Ουσιαστικό					
3416	1352	0,023534879	B2	εκπληρώνω		Ρήμα					
	0	0	C2	εκπλήρωση		Ουσιαστικό					
	0	0	C2	εκπλήσσομαι		Ρήμα					
4959	797	0,013873742	C2	εκπλήσσω, εκπλήττω		Ρήμα					
	0	0	C2	εκπνέω		Ρήμα					
1080	5659	0,098508789	A2	εκπομπή		Ουσιαστικό					
5312	637	0,013553191	C2	εκπροσώπηση		Ουσιαστικό					
1147	5305	0,092346549	A2	εκπρόσωπος		Ουσιαστικό					
	0	0	C2	εκπρόσωπος 	εκπρόσωπος τύπου	Ουσιαστικό					
2892	1683	0,029296747	B1	εκπροσωπώ		Ρήμα					
3278	1432	0,024927476	B2	έκπτωση		Ουσιαστικό					
	0	0	C2	εκρήγνυμαι		Ρήμα					
4601	894	0,015562265	C1	εκρηκτικός		Επίθετο					
2568	1977	0,034414539	B1	έκρηξη		Ουσιαστικό					
2393	2155	0,037513066	B1	εκστρατεία		Ουσιαστικό					
5233	692	0,014723404	C2	εκσυγχρονίζω		Ρήμα					
3718	1199	0,020871539	B2	εκσυγχρονισμός		Ουσιαστικό					
5258	669	0,014234043	C2	εκσυγχρονιστικός		Επίθετο					
5473	0	0	C2	εκσφενδονίζω		Ρήμα					
5822	0	0	C2	έκτακτος	έκτακτης ανάγκης	Έκφραση					
2629	1916	0,033352684	B1	έκτακτος		Επίθετο					
1129	5394	0,093895813	A2	έκταση		Ουσιαστικό					
	0	0	C2	εκτείνομαι		Ρήμα					
1339	4439	0,077271693	A2	εκτέλεση		Ουσιαστικό					
	0	0	C2	εκτελεστής		Ουσιαστικό					
3877	1139	0,019827091	B2	εκτελεστικός		Επίθετο					
5767	0	0	C2	εκτελούμαι		Ρήμα					
1375	4339	0,075530948	A2	εκτελώ		Ρήμα					
5166	750	0,013055591	C2	εκτενής		Επίθετο					
4157	1046	0,018208198	C1	εκτεταμένος		Επίθετο					
2758	1785	0,037978723	B1	εκτίθεμαι		Ρήμα					
1324	4503	0,07838577	A2	εκτίμηση		Ουσιαστικό					
1469	4032	0,070186859	A2	εκτιμώ		Ρήμα					
4536	914	0,019446809	C1	εκτοξεύω		Ρήμα					
207	23152	0,403017401	A1	εκτός	εκτός από	Επίρρημα					
3233	1453	0,025293032	B2	έκτος		Αριθμητικό					
4396	958	0,016676342	C1	έκτοτε		Επίρρημα					
5407	550	0,013493633	C2	έκτρωση		Ουσιαστικό					
	0	0	C2	εκτυπωμένος		Μετοχή					
5583	0	0	C2	εκτυπώνω		Ρήμα					
2011	2702	0,047034944	B1	εκτύπωση		Ουσιαστικό					
4686	867	0,015092264	C1	εκτυπωτής		Ουσιαστικό					
	0	0	C2	εκφοβίζω		Ρήμα					
5987	0	0	C2	εκφράζομαι		Ρήμα					
567	10691	0,186103103	A1	εκφράζω		Ρήμα					
933	6580	0,114541055	A1	έκφραση		Ουσιαστικό					
	0	0	C2	εκφραστικός		Επίθετο					
	0	0	C2	εκφωνώ		Ρήμα					
	0	0	C2	εκχώρηση		Ουσιαστικό					
4538	914	0,015910414	C1	έλαιο		Ουσιαστικό					
2745	1798	0,031298604	B1	ελαιόλαδο		Ουσιαστικό					
	0	0	C2	ελάσσων		Επίθετο					
2931	1650	0,028722301	B2	ελαστικός		Επίθετο					
	0	0	C2	έλατο		Ουσιαστικό					
	0	0	C2	ελάττωμα		Ουσιαστικό					
4643	881	0,015335968	C1	ελαττώνω		Ρήμα					
	0	0	C2	ελάφι		Ουσιαστικό					
2259	2322	0,040420111	B1	ελαφρά		Επίρρημα					
3554	1282	0,022316357	B2	ελαφρός		Επίθετο					
